idx,resourceidx,chunktype,supportedconnectionmask,minstageidx,maxuseperrun,weight
11050,1050,1,15,9001,2,100
11051,1051,1,15,9001,2,100
11052,1052,1,15,9001,2,100
11053,1053,1,15,9001,2,100
11056,1056,3,15,9001,2,80
11057,1057,4,15,9001,2,80
11061,1061,8,15,9001,2,60
11063,1063,10,15,9001,1,100
11072,1072,1,15,9001,2,100
11073,1073,1,15,9001,2,100
11074,1074,1,15,9001,2,100
11075,1075,1,15,9001,2,100
11076,1076,4,15,9001,2,80
11077,1077,8,15,9001,1,60
11078,1078,3,15,9001,2,80
11079,1079,2,15,9001,1,80
