idx,effectnametextidx,prefabidx,duration,scale,loopcount,spawnpivotx,spawnpivoty,activecenterx,activecentery,activesizex,activesizey,activeshape,unitidx,patternidx,skillidx,hittick
8001,2020,1020,0.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0
8002,2021,1021,0.8,1.2,1,0,0,0,0,0,0,0,0,0,0,0
8003,2022,1022,0.5,1.2,1,0,0,0,0,0,0,0,0,0,0,0
8010,2023,1030,0.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0
8011,2024,1031,0.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0
8012,2025,1032,0.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0
8013,2026,1033,0.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0
8014,2020,1081,1,2.34375,1,1,0,0.11,-0.076666667,0.590,0.870,0,3001,0,7001,0
8015,2010,1082,1,2.34375,1,0,0,0.065,-0.01,0.91,0.08,0,3101,6001,7008,0
8016,2010,1083,1,5.925925925925926,1,0,0,0.105,-0.005,0.89,0.09,0,3102,6008,7005,0
8017,2011,1084,1,3.018867924528302,1,0,0,0.260,0.050,0.380,0.820,0,3102,6009,7006,0
8018,2015,1085,1,2.34375,1,0.8,0,0.100,0.135,0.720,0.890,0,3103,6012,7009,0
8019,2018,1086,1,1.98419834046611,1,0.8,0,0.100101,0.00157,0.806371,0.440269,2,3103,6010,7007,0
8020,2014,1087,1,5.662311091,1,0,0,0.13245475,0,0.529819,0.3178914,0,3104,6003,7014,0
8021,2015,1088,1,3.896103896,1,0,0,0.385,0,0.385,0.770,0,3104,6004,7014,0
8022,2016,1089,1,1.5625,1,0,0,0.085,-0.005,0.89,0.07,0,3105,6005,7015,0
8023,2037,1090,1,1,1,0,0,0.005,-0.005,2.00145,2.00145,1,3201,6103,7013,0
8024,2017,1091,1,1.5625,1,0,0,0.086288,-0.010357,0.938369,0.090138,0,3105,6006,7015,0
8025,2034,1092,1,1,1,0,0,0.170,0.235,1.480,1.770,0,3201,6100,7012,0
8026,2036,1093,1,1,1,0,0,0.025,0.01,1.339308,0.929933,2,3201,6102,7010,0
8027,2032,1094,1,2.34375,1,1,0,0.18,0.036666667,0.320,0.790,0,3001,0,7003,1
8028,2032,1095,1,2.34375,1,1,0,0.136666667,-0.066666667,0.570,0.880,0,3001,0,7003,2
8029,2035,1096,1,1.1953125,1,0,0,0.235,0.250,1.270,1.580,0,3201,6101,7011,1
8030,2035,1097,1,1.296875,1,0,0,0.415,-0.215,1.050,1.690,0,3201,6101,7011,2
8031,2014,1098,1,2.34375,1,0,0,0.235,0.070,0.470,0.860,0,3106,6007,7016,0
8032,2031,1099,1,2.34375,1,1,0,0.05,0.003333333,0.95,0.25,0,3001,0,7002,0
8033,2038,1099,1,2.34375,1,0.8,0,0.05,0.003333333,0.95,0.25,0,3103,6013,7017,0
8034,2039,1085,1,3.018867924528302,1,0.8,0,0.100,0.135,0.720,0.890,0,3103,6014,7018,0
