idx,patternnametextidx,executiontype,triggertype,triggersubject,triggervalue,randomweight,predelay,postdelay,cooldown,damage,chasetimeout,skillidx,minstartdistance,maxstartdistance,projectileresourceidx,projectilespeed,projectilemaxdistance,attackmotionprofileidx
6001,2010,1,3,1,2.0,100,0.4,0.6,2.0,15,1.0,7001,0,0,0,0,0,0
6002,2011,1,0,0,0.0,0,0.0,0.5,0.0,0,1.0,7001,0,0,0,0,0,0
6100,2010,4,2,1,8.0,50,0.8,0.8,6.0,25,1.5,7012,0,0,0,0,0,0
6101,2011,2,0,0,0.0,30,0.6,0.6,4.0,10,2.5,7011,0,0,0,0,0,0
6102,2012,3,0,0,0.0,70,1.0,1.0,5.0,35,2.0,7010,0,0,0,0,0,0
6103,2013,4,3,1,4.0,40,0.8,0.8,5.0,20,0.5,7013,0,0,0,0,0,0
6003,2014,2,2,1,4.0,100,0.7,0.8,3.0,18,1.0,7001,0,0,0,0,0,0
6004,2015,3,0,0,0.0,100,0.9,1.0,4.0,24,1.0,7001,0,0,0,0,0,0
6005,2016,4,3,1,10.0,100,0.6,0.7,2.5,14,1.0,7002,8,10,1045,15,25,0
6006,2017,4,3,1,8.0,100,0.8,0.8,4.0,16,1.0,7002,0,8,1045,15,25,0
6007,2014,2,2,1,4.0,100,0.7,0.8,3.0,18,1.0,7003,0,0,0,0,0,0
6008,2010,1,3,1,2.0,100,0.4,0.6,2.0,15,1.0,7005,1.5,1.905,0,0,0,10002
6009,2011,1,0,0,0.0,0,0.0,0.5,0.0,7.5,1.0,7006,0,1.5,0,0,0,10002
6010,2018,4,3,1,2.0,0,0.4,0.6,2.0,15,1.0,7007,1.5,2.0,0,0,0,10002
