idx,path
1001,Player
1002,Garon
1003,SpearSentry
1004,ShadowStalker
1005,WaveHeavy
1010,PlayerAnimatorController
1011,GaronAnimatorController
1012,SpearSentryAnimatorController
1013,ShadowStalkerAnimatorController
1014,WaveHeavyAnimatorController
1015,ShieldSentinelAnimatorController
1016,OrbitalMarksmanAnimatorController
1020,Player_Attack_Hit1_Effect
1021,Player_Attack_Hit2_Effect
1022,Player_Attack_Hit3_Effect
1030,Placeholder_Parry
1031,Placeholder_Guard
1032,Placeholder_Dodge
1033,Placeholder_Hit
1040,Tilemap_Room_Stage1_Entry
1041,Tilemap_Room_Stage1_Battle
1042,Tilemap_Room_Stage1_Boss
1043,Tilemap_Room_Stage2_Entry
1044,Tilemap_Room_Stage2_Boss
1006,ShieldSentinel
1007,OrbitalMarksman
1050,Tilemap_Room_Stage1_1050
1051,Tilemap_Room_Stage1_1051
1052,Tilemap_Room_Stage1_1052
1053,Tilemap_Room_Stage1_1053
1056,Tilemap_Room_Stage1_1056
1057,Tilemap_Room_Stage1_1057
1061,Tilemap_Room_Stage1_1061
1063,Tilemap_Room_Stage1_1063
