idx,nametextidx,range,casttime,cooldownsec,mpcost,damagemultiplier,isbasicattack,hitcount,hittimings,hitwindowpre,hitwindowpost,attackmotiontime,motionphasemask,effectidx,animstate,attackmotionprofileidx,attacksubject,bodypart
7001,2030,1.5,0.0,0.5,5,1.0,1,1,0.15,0.06,0.06,0.09,0,8001,7,10001,0,0
7002,2031,5.0,0.2,3.0,20,2.5,0,1,0.12,0.045,0.05,0.075,0,8002,7,10001,0,0
7003,2032,2.0,0.1,1.0,10,1.5,1,2,0.10_0.25,0.06,0.06,0.04,0,8001,7,10001,0,0
7004,2033,1.0,0.0,0.5,0,1.0,1,1,0.05,0.03,0.08,0,0,0,7,10001,0,0
7005,2010,1.5,0.0,0.5,5,1.0,1,1,0.15,0.06,0.06,0.09,3,8001,14,10002,0,0
7006,2011,1.5,0.1,1.0,10,1.5,1,2,0.10_0.25,0.06,0.06,0.04,3,8001,15,10001,0,0
7007,2018,2.0,0.0,0.5,0,1.0,1,1,0.88,0.06,0.06,0.82,5,0,14,10002,1,1
7008,2019,1.5,0.0,0.5,5,1.0,1,1,0.15,0.06,0.06,0.09,0,8001,7,10001,0,0
7009,2027,1.5,0.0,0.5,5,1.0,1,1,0.105,0.06,0.06,0.18,0,8001,7,10001,0,0
7017,2038,1.905,0.0,0.5,5,1.0,1,1,0.085,0.0475,0.0475,0.15,3,8001,7,10002,0,0
7018,2039,2.0,0.0,0.5,5,1.0,1,1,0.13,0.0675,0.0675,0.25,3,8001,7,10004,0,0
7010,2034,2.0,0.2,3.0,0,2.5,0,1,0.40,0.12,0.1,0.28,3,0,10,10001,0,0
7011,2035,2.5,0.1,4.0,0,3.0,0,1,0.30,0.05625,0.07,0.225,3,0,11,10001,0,0
7012,2036,4.0,0.3,5.0,0,2.0,0,1,0.60,0.105,0.09,0.495,3,0,12,10001,0,0
7013,2037,3.0,0.1,2.0,0,1.8,0,1,0.20,0.075,0.06,0.125,0,0,13,10001,0,0
7014,2028,1.5,0.0,0.5,5,1.0,1,1,0.15,0.06,0.06,0.09,0,8001,7,10001,0,0
7015,2029,5.0,0.2,3.0,20,2.5,0,1,0.12,0.045,0.05,0.075,0,8002,7,10001,0,0
7016,2014,2.0,0.1,1.0,10,1.5,1,2,0.10_0.25,0.06,0.06,0.04,0,8001,7,10001,0,0
7019,2035,2.5,0.1,4.0,0,3.0,0,1,0.33,0.05625,0.07,0.225,3,0,11,10001,0,0
